id,bits,L,zero_run,sym,T,method,trials,errors,error_rate,decimal_value,note
poly0,0000001100011011,16,6,1,1,rule_int,100,0,0.0000,795,
poly0,0000001100011011,16,6,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly1,01111011001010001011111000010010,32,4,1,1,rule_int,100,0,0.0000,2066267666,
poly1,01111011001010001011111000010010,32,4,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly2,101001101001001100101001,24,2,1,1,rule_int,100,0,0.0000,10916649,
poly2,101001101001001100101001,24,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly3,10010010,8,2,1,1,rule_int,100,0,0.0000,146,
poly3,10010010,8,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly4,1001110110010101111101101000001101011001,40,5,1,1,rule_int,100,0,0.0000,676825826137,
poly4,1001110110010101111101101000001101011001,40,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly5,1101110110100111,16,2,1,1,rule_int,100,0,0.0000,56743,
poly5,1101110110100111,16,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly6,01001101,8,2,1,1,rule_int,100,0,0.0000,77,
poly6,01001101,8,2,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly7,01001000,8,3,1,1,rule_int,100,0,0.0000,72,
poly7,01001000,8,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly8,10001001000010110000010111101011,32,5,1,1,rule_int,100,0,0.0000,2299201003,
poly8,10001001000010110000010111101011,32,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly9,011000001110111101111011,24,5,1,1,rule_int,100,0,0.0000,6352763,
poly9,011000001110111101111011,24,5,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly10,0001011001100101,16,3,1,1,rule_int,100,0,0.0000,5733,
poly10,0001011001100101,16,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
poly11,101010011010100110110001,24,3,1,1,rule_int,100,0,0.0000,11119025,
poly11,101010011010100110110001,24,3,1,0,LLM_predict,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
