n,x,sym,T,method,trials,errors,error_rate,value_15dp,note
0,0.5,1,1,tool_mpmath,100,0,0.0000,1.06348337074132,
0,0.5,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
0,1.0,1,1,tool_mpmath,100,0,0.0000,1.26606587775201,
0,1.0,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
0,2.0,1,1,tool_mpmath,100,0,0.0000,2.27958530233607,
0,2.0,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
0,5.0,1,1,tool_mpmath,100,0,0.0000,27.2398718236044,
0,5.0,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
0,10.0,1,1,tool_mpmath,100,0,0.0000,2815.71662846625,
0,10.0,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1,0.5,1,1,tool_mpmath,100,0,0.0000,0.257894305390896,
1,0.5,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1,1.0,1,1,tool_mpmath,100,0,0.0000,0.565159103992485,
1,1.0,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1,2.0,1,1,tool_mpmath,100,0,0.0000,1.59063685463733,
1,2.0,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1,5.0,1,1,tool_mpmath,100,0,0.0000,24.3356421424505,
1,5.0,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
1,10.0,1,1,tool_mpmath,100,0,0.0000,2670.98830370125,
1,10.0,1,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
2,0.5,2,1,tool_mpmath,100,0,0.0000,0.0319061491777383,
2,0.5,2,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
2,1.0,2,1,tool_mpmath,100,0,0.0000,0.135747669767038,
2,1.0,2,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
2,2.0,2,1,tool_mpmath,100,0,0.0000,0.688948447698738,
2,2.0,2,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
2,5.0,2,1,tool_mpmath,100,0,0.0000,17.5056149666242,
2,5.0,2,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
2,10.0,2,1,tool_mpmath,100,0,0.0000,2281.518967726,
2,10.0,2,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
3,0.5,2,1,tool_mpmath,100,0,0.0000,0.00264511196899029,
3,0.5,2,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
3,1.0,2,1,tool_mpmath,100,0,0.0000,0.0221684249243319,
3,1.0,2,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
3,2.0,2,1,tool_mpmath,100,0,0.0000,0.212739959239853,
3,2.0,2,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
3,5.0,2,1,tool_mpmath,100,0,0.0000,10.3311501691511,
3,5.0,2,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
3,10.0,2,1,tool_mpmath,100,0,0.0000,1758.38071661085,
3,10.0,2,0,LLM_direct,0,NOT_RUN_NO_API,NOT_RUN_NO_API,NOT_RUN_NO_API,T=0 requires LLM API (NO-API set)
